Pages in Memory are:    6    8    2    7 | Referencing page 2 | Page 2 is in Memory
Pages in Memory are:    6    8    2    7 | Referencing page 3 | Page 6 is evicted
Pages in Memory are:    8    2    7    3 | Referencing page 3 | Page 3 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 3 | Page 3 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 2 | Page 2 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 7 | Page 7 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 3 | Page 3 is in Memory
Pages in Memory are:    8    2    7    3 | Referencing page 4 | Page 8 is evicted
Pages in Memory are:    2    7    3    4 | Referencing page 4 | Page 4 is in Memory
Pages in Memory are:    2    7    3    4 | Referencing page 4 | Page 4 is in Memory
Pages in Memory are:    2    7    3    4 | Referencing page 5 | Page 2 is evicted
Pages in Memory are:    7    3    4    5 | Referencing page 6 | Page 7 is evicted
Pages in Memory are:    3    4    5    6 | Referencing page 7 | Page 3 is evicted
Pages in Memory are:    4    5    6    7 | Referencing page 6 | Page 6 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 5 | Page 5 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 5 | Page 5 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 6 | Page 6 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 6 | Page 6 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 5 | Page 5 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 4 | Page 4 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 5 | Page 5 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 6 | Page 6 is in Memory
Pages in Memory are:    4    5    6    7 | Referencing page 8 | Page 4 is evicted
Pages in Memory are:    5    6    7    8 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 7 | Page 7 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 6 | Page 6 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 7 | Page 7 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 8 | Page 8 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 7 | Page 7 is in Memory
Pages in Memory are:    5    6    7    8 | Referencing page 6 | Page 6 is in Memory
Pages in Memory are: null null null null | Referencing page 2 | Page 2 is loaded in Memory
Pages in Memory are:    2 null null null | Referencing page 3 | Page 3 is loaded in Memory
Pages in Memory are:    2    3 null null | Referencing page 7 | Page 7 is loaded in Memory
Pages in Memory are:    2    3    7 null | Referencing page 3 | Page 3 is in Memory
Pages in Memory are:    2    7    3 null | Referencing page 2 | Page 2 is in Memory
Pages in Memory are:    7    3    2 null | Referencing page 7 | Page 7 is in Memory
Pages in Memory are:    3    2    7 null | Referencing page 6 | Page 6 is loaded in Memory
Pages in Memory are:    3    2    7    6 | Referencing page 6 | Page 6 is in Memory
Pages in Memory are:    3    2    7    6 | Referencing page 6 | Page 6 is in Memory
Pages in Memory are:    3    2    7    6 | Referencing page 5 | Page 3 is evicted
